date,tweet_count
2013-12-15,241
2013-12-16,519
2013-12-17,497
2013-12-18,642
2013-12-20,817
2013-12-21,493
2013-12-22,621
2013-12-24,368
2013-12-25,309
2013-12-26,1955
2013-12-27,844
2013-12-28,414
2013-12-29,496
2013-12-30,407
2014-01-02,469
2014-01-03,427
2014-01-04,262
2014-01-05,207
2014-01-06,252
2014-01-07,222
2014-01-08,231
2014-01-09,243
2014-01-11,248
2014-01-12,180
2014-01-13,213
2014-01-14,525
2014-01-15,540
2014-01-16,297
2014-01-17,442
2014-01-20,2180
2014-01-22,772
2014-01-23,648
2014-01-24,783
2014-01-25,390
2014-01-26,114
2014-01-27,28
2014-01-28,166
2014-01-29,66
2014-01-30,28
2014-01-31,43
2014-02-01,1307
2014-02-02,760
2014-02-04,911
2014-02-05,804
2014-02-06,738
2014-02-08,670
2014-02-09,611
2014-02-10,584
2014-02-11,103
2014-02-12,84
2014-02-13,43
2014-02-14,97
2014-02-15,510
2014-02-17,951
2014-02-19,663
2014-02-20,513
2014-02-21,705
2014-02-22,553
2014-02-23,508
2014-02-24,706
2014-02-25,773
2014-02-26,961
2014-02-27,741
2014-02-28,598
2014-03-02,490
2014-03-03,550
2014-03-05,514
2014-03-06,425
2014-03-07,488
2014-03-08,365
2014-03-09,370
2014-03-10,595
2014-03-12,551
2014-03-13,608
2014-03-14,606
2014-03-15,528
2014-03-16,812
2014-03-17,897
2014-03-18,924
2014-03-19,974
2014-03-20,931
2014-03-22,714
2014-03-23,328
2014-03-25,1230
2014-03-26,1843
2014-03-27,1715
2014-03-28,996
2014-03-30,716
2014-03-31,955
2014-04-01,954
2014-04-02,739
2014-04-03,1043
2014-04-04,891
2014-04-05,743
2014-04-06,679
2014-04-09,1083
2014-04-10,847
2014-04-12,410
2014-04-13,402
2014-04-14,520
2014-04-15,519
2014-04-16,647
2014-04-18,495
2014-04-19,288
2014-04-21,269
2014-04-22,167
2014-04-23,239
2014-04-25,91
2014-04-26,144
2014-04-28,408
2014-04-30,68
2014-05-01,538
2014-05-02,551
2014-05-03,21
2014-05-04,566
2014-05-05,197
2014-05-06,115
2014-05-07,10
2014-05-08,24
2014-05-09,155
2014-05-12,723
2014-05-14,694
2014-05-15,262
2014-05-20,466
2014-05-21,493
2014-05-22,495
2014-05-23,401
2014-05-25,397
2014-05-26,340
2014-05-29,292
2014-05-30,372
2014-05-31,309
2014-07-01,567
2014-07-02,74
2014-07-03,483
2014-07-04,439
2014-07-05,378
2014-07-07,466
2014-07-08,416
2014-07-09,401
2014-07-10,335
2014-07-11,336
2014-07-12,322
2014-07-13,238
2014-07-14,433
2014-07-15,505
2014-07-16,370
2014-07-17,390
2014-07-18,353
2014-07-19,303
2014-07-20,295
2014-07-21,291
2014-07-23,336
2014-07-24,355
2014-07-25,506
2014-07-27,182
2014-07-28,282
2014-07-29,289
2014-07-30,315
2014-07-31,256
2014-08-01,244
2014-08-03,313
2014-08-04,457
2014-08-07,327
2014-08-08,295
2014-08-09,224
2014-08-10,262
2014-08-11,380
2014-08-12,288
2014-08-13,311
2014-08-14,375
2014-08-15,256
2014-08-16,235
2014-08-17,208
2014-08-18,284
2014-08-19,406
2014-08-20,326
2014-08-22,452
2014-08-23,288
2014-08-24,262
2014-08-25,336
2014-08-26,370
2014-08-27,301
2014-08-28,266
2014-08-29,274
2014-08-30,213
2014-08-31,316
2014-09-01,418
2014-09-04,813
2014-09-05,463
2014-09-06,417
2014-09-07,336
2014-09-09,306
2014-09-10,358
2014-09-11,447
2014-09-12,454
2014-09-13,357
2014-09-14,590
2014-09-16,401
2014-09-17,355
2014-09-18,415
2014-09-19,382
2014-09-21,400
2014-09-22,325
2014-09-23,350
2014-09-24,57
2014-09-25,454
2014-09-27,400
2014-09-28,403
2014-09-29,387
2014-09-30,393
2014-10-01,365
2014-10-02,316
2014-10-03,312
2014-10-04,337
2014-10-05,344
2014-10-08,347
2014-10-09,252
2014-10-10,269
2014-10-11,212
2014-10-12,227
2014-10-13,267
2014-10-14,271
2014-10-15,790
2014-10-16,402
2014-10-17,281
2014-10-18,229
2014-10-19,288
2014-10-20,246
2014-10-21,340
2014-10-22,305
2014-10-24,282
2014-10-25,204
2014-10-26,221
2014-10-27,19
2014-10-30,241
2014-10-31,273
2015-11-01,140
2015-11-02,24
2015-11-04,10
2015-11-06,163
2015-11-07,69
2015-11-09,149
2015-11-10,155
2015-11-11,105
2015-11-12,120
2015-11-14,135
2015-11-17,132
2015-11-18,150
2015-11-19,149
2015-11-20,151
2015-11-21,105
2015-11-22,134
2015-11-24,156
2015-11-25,151
2015-11-26,168
2015-11-27,177
2015-11-29,170
2015-11-30,267
2015-12-01,40
2015-12-04,8
2015-12-05,137
2015-12-07,173
2015-12-08,197
2015-12-09,208
2015-12-10,194
2015-12-11,214
2015-12-12,138
2015-12-14,174
2015-12-15,167
2015-12-17,163
2015-12-18,202
2015-12-19,166
2015-12-20,128
2015-12-21,142
2015-12-22,201
2015-12-24,161
2015-12-25,128
2015-12-26,114
2015-12-27,121
2015-12-29,169
2015-12-30,179
2016-01-01,103
2016-01-02,101
2016-01-03,98
2016-01-04,121
2016-01-05,137
2016-01-06,121
2016-01-07,163
2016-01-08,143
2016-01-09,146
2016-01-10,121
2016-01-11,102
2016-01-12,124
2016-01-13,107
2016-01-14,94
2016-01-15,151
2016-01-16,105
2016-01-17,105
2016-01-18,150
2016-01-19,119
2016-01-20,110
2016-01-21,132
2016-01-23,90
2016-01-24,215
2016-01-25,273
2016-01-26,324
2016-01-27,371
2016-01-28,240
2016-01-29,229
2016-01-30,172
2016-01-31,254
2016-02-01,186
2016-02-04,201
2016-02-05,170
2016-02-06,213
2016-02-07,243
2016-02-09,147
2016-02-10,205
2016-02-11,172
2016-02-12,150
