filename,date,start_time,finish_time,isCompleteData,normal_tweet_count,spammer_tweet_count,robot_tweet_count,tweet_total
DOGE_20210501.json,5/1/2021,23:59:59,10:51:37,FALSE,7595,2546,141,10282
DOGE_20210502.json,5/2/2021,23:59:59,0:00:00,TRUE,9468,3681,1485,14634
DOGE_20210503.json,5/3/2021,23:59:59,0:00:01,TRUE,18089,6426,1723,26238
DOGE_20210504_Latest50001_max.json,5/4/2021,23:59:59,10:13:26,FALSE,39164,9533,1304,50001
DOGE_20210505_Latest24076_keyboard.json,5/5/2021,23:59:57,12:11:07,FALSE,17970,5151,955,24076
DOGE_20210506_Latest15060_http.json,5/6/2021,23:59:56,13:05:09,FALSE,11084,3310,666,15060
DOGE_20210507_Latest23920.json,5/7/2021,23:59:59,7:57:00,FALSE,18285,4733,902,23920
DOGE_20210508_Latest31173.json,5/8/2021,23:59:58,5:12:24,FALSE,23770,6290,1113,31173
DOGE_20210509.json,5/9/2021,23:59:59,0:00:00,TRUE,69729,14480,1915,86124
DOGE_20210510_Latest23093_twice.json,5/10/2021,23:59:57,12:44:30,FALSE,17331,4875,887,23093
DOGE_20210511.json,5/11/2021,23:59:57,0:00:00,TRUE,32760,7509,1808,42077
DOGE_20210512.json,5/12/2021,23:59:58,0:00:00,TRUE,32529,7208,1827,41564
DOGE_20210513_Latest19119.json,5/13/2021,23:59:57,16:35:00,FALSE,14949,3630,540,19119
DOGE_20210514_Latest14932.json,5/14/2021,23:59:53,15:05:17,FALSE,11080,3139,713,14932
DOGE_20210515.json,5/15/2021,23:59:58,0:00:01,TRUE,19447,5305,266,25018
DOGE_20210516.json,5/16/2021,23:59:57,0:00:01,TRUE,35038,6900,296,42234
DOGE_20210517.json,5/17/2021,23:59:57,0:00:00,TRUE,31715,5430,373,37518
DOGE_20210518.json,5/18/2021,23:59:57,0:00:01,TRUE,17850,4714,339,22903
DOGE_20210519.json,5/19/2021,23:59:59,0:00:00,TRUE,24515,6266,264,31045
DOGE_20210520.json,5/20/2021,23:59:50,0:00:01,TRUE,20825,4860,316,26001
DOGE_20210521.json,5/21/2021,23:59:59,0:00:00,TRUE,14700,4036,353,19089
DOGE_20210522_Latest3876.json,5/22/2021,23:59:55,18:26:28,FALSE,2940,876,60,3876
DOGE_20210523.json,5/23/2021,23:59:58,0:00:00,TRUE,12775,3918,326,17019
DOGE_20210524_Latest20257.json,5/24/2021,23:59:56,7:29:33,FALSE,16537,3446,274,20257
DOGE_20210525.json,5/25/2021,23:59:54,0:00:00,TRUE,30117,5353,413,35883
DOGE_20210526.json,5/26/2021,23:59:57,0:00:00,TRUE,14551,3956,393,18900
DOGE_20210527_Latest21730_keyboard.json,5/27/2021,23:59:58,3:07:07,FALSE,18225,3144,361,21730
DOGE_20210528.json,5/28/2021,23:59:56,0:00:00,TRUE,9220,3538,417,13175
DOGE_20210529.json,5/29/2021,23:59:59,0:00:01,TRUE,8004,2972,363,11339
DOGE_20210530.json,5/30/2021,23:59:52,0:00:02,TRUE,7627,2713,359,10699
DOGE_20210531.json,5/31/2021,23:59:59,0:00:04,TRUE,7982,2736,409,11127
